Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,60,RL,10000.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1993.0,1994,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763.0,892.0,0,1655.0,0.0,0.0,2.0,1,3.0,1,TA,7,Typ,1.0,2.0,440.0,Y,157,84,0,0,0,0,0,4,2010,WD ,Normal,175900
12,527165230,20,RL,7980.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7.0,1992.0,2007,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187.0,0.0,0,1187.0,1.0,0.0,2.0,0,3.0,1,TA,6,Typ,0.0,2.0,420.0,Y,420,21,0,0,0,0,0,3,2010,WD ,Normal,185000
13,527166040,60,RL,8402.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789.0,676.0,0,1465.0,0.0,0.0,2.0,1,3.0,1,TA,7,Typ,1.0,2.0,393.0,Y,0,75,0,0,0,0,0,5,2010,WD ,Normal,180400
14,527180040,20,RL,10176.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5.0,1990.0,1990,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341.0,0.0,0,1341.0,1.0,0.0,1.0,1,2.0,1,Gd,5,Typ,1.0,2.0,506.0,Y,192,0,0,0,0,0,0,2,2010,WD ,Normal,171500
15,527182190,120,RL,6820.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1985.0,1985,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,0.0,0.0,1488.0,GasA,TA,Y,SBrkr,1502.0,0.0,0,1502.0,1.0,0.0,1.0,1,1.0,1,Gd,4,Typ,0.0,2.0,528.0,Y,0,54,0,0,0,0,0,6,2010,WD ,Normal,212000
16,527216070,60,RL,17727.75,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5.0,2003.0,2003,Hip,CompShg,CemntBd,Wd Shng,406.875,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Y,SBrkr,1690.0,1589.0,0,2667.875,1.0,0.0,3.0,1,4.0,1,Ex,10,Mod,1.0,3.0,841.0,Y,420,36,0,0,0,0,0,6,2010,WD ,Normal,339500
17,527225035,50,RL,12134.0,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7.0,1988.0,2005,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,Y,SBrkr,1080.0,672.0,0,1752.0,0.0,0.0,2.0,0,4.0,1,TA,8,Typ,0.0,2.0,492.0,Y,325,12,0,0,0,0,0,6,2010,WD ,Normal,164000
18,527258010,20,RL,11394.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,3.5,2010.0,2010,Hip,CompShg,VinylSd,VinylSd,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856.0,0.0,0,1856.0,1.0,0.0,1.0,1,1.0,1,Ex,8,Typ,1.0,3.0,834.0,Y,113,0,0,0,0,0,0,6,2010,New,Partial,339500
19,527276150,20,RL,17727.75,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5.0,1951.0,1951,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864.0,0.0,0,864.0,0.0,0.0,1.0,0,2.0,1,TA,4,Typ,0.0,2.0,400.0,Y,0,0,0,0,0,0,0,6,2010,WD ,Normal,141000
20,527302110,20,RL,13175.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6.0,1978.0,1988,Gable,CompShg,Plywood,Plywood,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,0.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073.0,0.0,0,2073.0,1.0,0.0,2.0,0,3.0,1,TA,7,Min1,2.0,2.0,500.0,Y,349,0,0,0,0,0,0,2,2010,WD ,Normal,210000
21,527358140,20,RL,11751.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6.0,1977.0,1977,Hip,CompShg,Plywood,Plywood,406.875,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844.0,0.0,0,1844.0,0.0,0.0,2.0,0,3.0,1,TA,7,Typ,1.0,2.0,546.0,Y,0,122,0,0,0,0,0,1,2010,COD,Normal,190000
22,527358200,85,RL,10625.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6.0,1974.0,1974,Gable,CompShg,Plywood,Plywood,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,0.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173.0,0.0,0,1173.0,1.0,0.0,2.0,0,3.0,1,Gd,6,Typ,2.0,2.0,528.0,Y,0,120,0,0,0,0,0,1,2010,WD ,Family,170000
23,527368020,60,FV,7500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5.0,2000.0,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814.0,860.0,0,1674.0,1.0,0.0,2.0,1,3.0,1,Gd,7,Typ,0.0,2.0,663.0,Y,0,96,0,0,0,0,0,1,2010,WD ,Normal,216000
24,527402200,20,RL,11241.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7.0,1970.0,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0,1004.0,1.0,0.0,1.0,0,2.0,1,TA,5,Typ,1.0,2.0,480.0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,149000
25,527402250,20,RL,12537.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1971.0,2008,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078.0,0.0,0,1078.0,1.0,0.0,1.0,1,3.0,1,TA,6,Typ,1.0,2.0,500.0,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,149900
26,527403020,20,RL,8450.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1968.0,1968,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056.0,0.0,0,1056.0,1.0,0.0,1.0,0,3.0,1,TA,6,Typ,1.0,1.0,304.0,Y,0,85,0,0,0,0,0,7,2010,WD ,Normal,142000
27,527404120,20,RL,8400.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5.0,1970.0,1970,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,0.0,0.0,882.0,GasA,TA,Y,SBrkr,882.0,0.0,0,882.0,1.0,0.0,1.0,0,2.0,1,TA,4,Typ,0.0,2.0,525.0,Y,240,0,0,0,0,0,0,4,2010,WD ,Normal,126000
28,527425090,20,RL,10500.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5.0,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864.0,0.0,0,864.0,0.0,0.0,1.0,0,3.0,1,TA,5,Typ,1.0,0.0,0.0,Y,0,0,0,0,0,0,0,4,2010,ConLI,Normal,115000
29,527427230,120,RH,5858.0,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5.0,1999.0,1999,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337.0,0.0,0,1337.0,1.0,0.0,2.0,0,2.0,1,Gd,5,Typ,1.0,2.0,511.0,Y,203,68,0,0,0,0,0,6,2010,WD ,Normal,184000
30,527451180,145,RM,1680.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,406.875,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987.0,0.0,0.0,1.0,1,2.0,1,TA,5,Typ,0.0,1.0,264.0,Y,275,0,0,0,0,0,0,2,2010,COD,Normal,96000
31,527451330,145,RM,1680.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5.0,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,406.875,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525.0,567.0,0,1092.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,0.0,1.0,320.0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,105500
32,527451410,145,RM,1680.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1971.0,1971,Gable,CompShg,HdBoard,ImStucc,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,TA,Y,SBrkr,525.0,567.0,0,1092.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,0.0,1.0,264.0,Y,0,0,0,0,0,0,0,3,2010,WD ,Family,88000
33,527452190,120,RL,4043.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5.0,1977.0,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,TA,Y,SBrkr,1069.0,0.0,0,1069.0,0.0,0.0,2.0,0,2.0,1,TA,4,Typ,1.0,2.0,440.0,Y,0,55,0,0,0,0,0,7,2010,WD ,Normal,127500
34,527453130,145,RL,2280.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6.0,1975.0,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855.0,601.0,0,1456.0,0.0,0.0,2.0,1,3.0,1,Gd,6,Typ,1.0,2.0,440.0,Y,173,0,0,0,0,0,0,6,2010,WD ,Normal,149900
35,527453150,120,RL,2280.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6.0,1975.0,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,836.0,0.0,0,836.0,0.0,0.0,1.0,0,2.0,1,TA,4,Typ,0.0,1.0,308.0,Y,0,30,0,0,0,0,0,6,2010,WD ,Normal,120000
36,527454200,145,RL,2280.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5.0,1978.0,1978,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Fa,Y,SBrkr,855.0,601.0,0,1456.0,0.0,0.0,2.0,1,3.0,1,TA,7,Typ,1.0,2.0,440.0,Y,26,0,0,0,0,0,0,7,2010,WD ,Normal,146000
37,528108120,60,RL,12858.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5.0,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627.0,707.0,0,2334.0,0.0,0.0,2.0,1,3.0,1,Ex,10,Typ,1.0,3.0,751.0,Y,144,133,0,0,0,0,0,1,2010,New,Partial,339500
38,528112020,20,RL,11478.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2007.0,2008,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0,1704.0,1.0,0.0,2.0,0,3.0,1,Gd,7,Typ,1.0,3.0,772.0,Y,0,50,0,0,0,0,0,5,2010,WD ,Normal,306000
39,528120060,20,RL,10159.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5.0,2009.0,2010,Hip,CompShg,VinylSd,VinylSd,406.875,Ex,TA,PConc,Ex,TA,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,Ex,Y,SBrkr,1940.0,0.0,0,1940.0,1.0,0.0,2.0,1,3.0,1,Ex,8,Typ,1.0,3.0,606.0,Y,168,95,0,0,0,0,0,4,2010,New,Partial,339500
40,528120090,20,RL,12883.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,Y,SBrkr,1544.0,0.0,0,1544.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,0.0,3.0,868.0,Y,0,35,0,0,0,0,0,6,2010,New,Partial,290941
41,528120100,20,RL,12182.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5.0,2005.0,2005,Gable,CompShg,VinylSd,VinylSd,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,GasA,Ex,Y,SBrkr,1541.0,0.0,0,1541.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,1.0,2.0,532.0,Y,0,70,0,0,0,0,0,5,2010,New,Partial,220000
42,528120120,20,RL,11520.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5.0,2005.0,2005,Hip,CompShg,VinylSd,VinylSd,406.875,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,1698.0,0.0,0,1698.0,0.0,0.0,2.0,0,3.0,1,Ex,7,Typ,1.0,3.0,730.0,Y,192,74,0,0,0,0,0,6,2010,WD ,Normal,275000
43,528138020,20,RL,14122.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2005.0,2006,Hip,CompShg,CemntBd,CmentBd,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1675.875,1822.0,GasA,Ex,Y,SBrkr,1822.0,0.0,0,1822.0,0.0,0.0,2.0,0,3.0,1,Ex,8,Typ,1.0,3.0,678.0,Y,0,119,0,0,0,0,0,2,2010,WD ,Normal,259000
44,528138060,20,RL,10171.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5.0,2004.0,2004,Gable,CompShg,VinylSd,VinylSd,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,2.0,Unf,0.0,1515.0,1517.0,GasA,Ex,Y,SBrkr,1535.0,0.0,0,1535.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,0.0,2.0,532.0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,214000
45,528150070,20,RL,12919.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5.0,2009.0,2010,Hip,CompShg,VinylSd,VinylSd,406.875,Ex,TA,PConc,Ex,TA,Gd,GLQ,1835.0,Unf,0.0,142.0,2064.25,GasA,Ex,Y,SBrkr,2145.625,0.0,0,2364.0,1.0,0.0,2.0,1,2.0,1,Ex,10,Typ,2.0,3.0,820.0,Y,0,67,0,0,0,0,0,3,2010,New,Partial,339500
46,528175010,120,RL,6371.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5.0,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,733.0,Unf,0.0,625.0,1358.0,GasA,Ex,Y,SBrkr,1358.0,0.0,0,1358.0,1.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,2.0,484.0,Y,192,35,0,0,0,0,0,6,2010,New,Partial,224000
47,528176010,20,RL,14300.0,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5.0,2003.0,2004,Hip,CompShg,VinylSd,VinylSd,406.875,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2064.25,GasA,Ex,Y,SBrkr,2145.625,0.0,0,2667.875,1.0,0.0,2.0,1,3.0,1,Ex,10,Typ,2.0,3.0,958.0,Y,220,150,0,0,0,0,0,6,2010,WD ,Normal,339500
48,528176070,60,RL,13650.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5.0,2002.0,2002,Gable,CompShg,VinylSd,VinylSd,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Y,SBrkr,1687.0,563.0,0,2250.0,1.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,3.0,756.0,Y,238,130,0,0,0,0,0,6,2010,WD ,Normal,320000
49,528180070,120,RL,7658.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5.0,2005.0,2005,Hip,CompShg,MetalSd,MetalSd,406.875,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752.0,0.0,0,1752.0,1.0,0.0,2.0,0,2.0,1,Ex,6,Typ,1.0,2.0,576.0,Y,196,82,0,0,0,0,0,2,2010,WD ,Normal,319900
50,528181050,120,RL,7132.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5.0,2006.0,2006,Gable,CompShg,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Y,SBrkr,1370.0,0.0,0,1370.0,0.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,2.0,484.0,Y,120,49,0,0,0,0,0,4,2010,WD ,Normal,205000
